Segmentation	language	variation	context	dimension	AUC	StD
gold	Eng	h_2	5	5	0.5692388888888888	0.19224124673036336
gold	Eng	h_2	5	10	0.5362666666666667	0.1841971466733201
gold	Eng	h_2	5	20	0.5329430555555554	0.1942796699608789
gold	Eng	h_2	5	50	0.5545944444444444	0.21303601395243188
gold	Eng	h_2	5	100	0.5362499999999999	0.1999722907116612
gold	Eng	h_2	5	200	0.5562513888888888	0.1966331907076875
gold	Eng	h_2	5	500	0.5165388888888889	0.19669804136113975
gold	Eng	h_4	5	5	0.5851194444444444	0.21262064569031258
gold	Eng	h_4	5	10	0.5562722222222223	0.14128068431055696
gold	Eng	h_4	5	20	0.5453458333333334	0.13527166666409982
gold	Eng	h_4	5	50	0.5601777777777777	0.1214757270754883
gold	Eng	h_4	5	100	0.5680222222222222	0.13337920524570276
gold	Eng	h_4	5	200	0.5484736111111111	0.1416980268870681
gold	Eng	h_4	5	500	0.5541444444444444	0.14015769161383373
gold	Eng	h_10	5	5	0.8	0.3570714214271425
gold	Eng	h_10	5	10	0.8875	0.2814582562299426
gold	Eng	h_10	5	20	0.83625	0.3253339630287622
gold	Eng	h_10	5	50	0.9075	0.24913600703230354
gold	Eng	h_10	5	100	0.86625	0.29751838178505885
gold	Eng	h_10	5	200	0.915	0.2530316185775999
gold	Eng	h_10	5	500	0.825	0.35794552658190887
gold	Eng	h_19	5	5	0.23	0.4208325082500163
gold	Eng	h_19	5	10	0.29	0.4537620521815371
gold	Eng	h_19	5	20	0.23	0.4208325082500163
gold	Eng	h_19	5	50	0.34	0.4737087712930804
gold	Eng	h_19	5	100	0.25	0.4330127018922193
gold	Eng	h_19	5	200	0.27	0.4439594576084623
gold	Eng	h_19	5	500	0.43	0.4950757517794625
gold	Eng	phonemic	5	5	0.6845833333333334	0.30766503525710087
gold	Eng	phonemic	5	10	0.47111111111111115	0.3414332988020708
gold	Eng	phonemic	5	20	0.605	0.3458881036504632
gold	Eng	phonemic	5	50	0.5025000000000001	0.3189269963680492
gold	Eng	phonemic	5	100	0.5116666666666666	0.34723733300452986
gold	Eng	phonemic	5	200	0.5065277777777778	0.33845290146835155
gold	Eng	phonemic	5	500	0.46972222222222226	0.3134607453715519
gold	Eng	htk_80	5	5	0.6164375	0.10678634846622485
gold	Eng	htk_80	5	10	0.5921500000000001	0.165804203052878
gold	Eng	htk_80	5	20	0.6211625	0.14526336588675756
gold	Eng	htk_80	5	50	0.5660875	0.17121793997344437
gold	Eng	htk_80	5	100	0.59365	0.16474683987864533
gold	Eng	htk_80	5	200	0.6121125	0.16494683755304315
gold	Eng	htk_80	5	500	0.6244625	0.15030648428710588
gold	Eng	htk_160	5	5	0.3987236111111111	0.1710376236665218
gold	Eng	htk_160	5	10	0.47580972222222223	0.17139505780249434
gold	Eng	htk_160	5	20	0.45158472222222223	0.1699693146949937
gold	Eng	htk_160	5	50	0.46873472222222223	0.15313393447731663
gold	Eng	htk_160	5	100	0.4652375000000001	0.19735860923330173
gold	Eng	htk_160	5	200	0.44702361111111116	0.17143334923840137
gold	Eng	htk_160	5	500	0.43121666666666675	0.16454187255551117
gold	Eng	htk_320	5	5	0.519375	0.15554716929279042
gold	Eng	htk_320	5	10	0.5365625	0.17258687803176115
gold	Eng	htk_320	5	20	0.516875	0.1629453033229249
gold	Eng	htk_320	5	50	0.490625	0.19154491150902442
gold	Eng	htk_320	5	100	0.499375	0.19560503092967724
gold	Eng	htk_320	5	200	0.5125	0.17875437057593865
gold	Eng	htk_320	5	500	0.528125	0.19382559009325884
gold	Eng	h_2	10	5	0.35255277777777777	0.19411257967469023
gold	Eng	h_2	10	10	0.3790736111111111	0.18229802481504304
gold	Eng	h_2	10	20	0.36544999999999994	0.17615747299847906
gold	Eng	h_2	10	50	0.38751111111111114	0.18918513602935208
gold	Eng	h_2	10	100	0.3603805555555556	0.20592312164815532
gold	Eng	h_2	10	200	0.37505972222222217	0.18494306895849608
gold	Eng	h_2	10	500	0.3717666666666667	0.17921290002103818
gold	Eng	h_4	10	5	0.4755638888888889	0.24388113663014682
gold	Eng	h_4	10	10	0.4332986111111111	0.22320761073573397
gold	Eng	h_4	10	20	0.4633763888888889	0.2294991777055322
gold	Eng	h_4	10	50	0.46755972222222225	0.22446690984841874
gold	Eng	h_4	10	100	0.42798611111111107	0.23235711584198881
gold	Eng	h_4	10	200	0.4543750000000001	0.22745892528740488
gold	Eng	h_4	10	500	0.43496250000000003	0.2251952726495125
gold	Eng	h_10	10	5	0.2625	0.29448047473474365
gold	Eng	h_10	10	10	0.1975	0.27904972675134443
gold	Eng	h_10	10	20	0.2375	0.2902046691560975
gold	Eng	h_10	10	50	0.18	0.24
gold	Eng	h_10	10	100	0.2375	0.29235038908816247
gold	Eng	h_10	10	200	0.2175	0.30136149389064293
gold	Eng	h_10	10	500	0.2525	0.2817245995648942
gold	Eng	h_19	10	5	0.235	0.42104037811117356
gold	Eng	h_19	10	10	0.27	0.4439594576084623
gold	Eng	h_19	10	20	0.23	0.4208325082500163
gold	Eng	h_19	10	50	0.23	0.4208325082500163
gold	Eng	h_19	10	100	0.31	0.462493243193887
gold	Eng	h_19	10	200	0.29	0.4537620521815371
gold	Eng	h_19	10	500	0.24	0.4270831300812525
gold	Eng	phonemic	10	5	0.7959722222222222	0.2240437068112568
gold	Eng	phonemic	10	10	0.8281944444444445	0.19534172929434127
gold	Eng	phonemic	10	20	0.8083333333333335	0.2238223639793038
gold	Eng	phonemic	10	50	0.8127777777777777	0.21915839302789183
gold	Eng	phonemic	10	100	0.8322222222222223	0.17916860464068166
gold	Eng	phonemic	10	200	0.8141666666666666	0.210990279748021
gold	Eng	phonemic	10	500	0.845138888888889	0.18592834101832661
gold	Eng	htk_80	10	5	0.6992999999999999	0.20923874820405516
gold	Eng	htk_80	10	10	0.7178625	0.19180909250801956
gold	Eng	htk_80	10	20	0.7563374999999999	0.17583766083734736
gold	Eng	htk_80	10	50	0.7226625	0.2064988389041207
gold	Eng	htk_80	10	100	0.7287874999999999	0.19938322514381693
gold	Eng	htk_80	10	200	0.7333750000000001	0.1941247585317236
gold	Eng	htk_80	10	500	0.745625	0.202313532975429
gold	Eng	htk_160	10	5	0.5739249999999999	0.1547971362873932
gold	Eng	htk_160	10	10	0.5679819444444445	0.1456588644922435
gold	Eng	htk_160	10	20	0.5678291666666667	0.17828412445746486
gold	Eng	htk_160	10	50	0.5847222222222223	0.16008476487300236
gold	Eng	htk_160	10	100	0.5911861111111111	0.17724589969399387
gold	Eng	htk_160	10	200	0.5736208333333334	0.16203180921394747
gold	Eng	htk_160	10	500	0.6180263888888888	0.16229491248002248
gold	Eng	htk_320	10	5	0.5428125	0.19211279035699316
gold	Eng	htk_320	10	10	0.5734375	0.18175441664165962
gold	Eng	htk_320	10	20	0.5653125	0.19892754451998346
gold	Eng	htk_320	10	50	0.5796875	0.21987989441681566
gold	Eng	htk_320	10	100	0.5778125	0.2253250689975485
gold	Eng	htk_320	10	200	0.5703125	0.17663162363730342
gold	Eng	htk_320	10	500	0.58375	0.1875458277328504
gold	Eng	h_2	20	5	0.47985694444444443	0.18356133912628883
gold	Eng	h_2	20	10	0.4934291666666667	0.17414077392038174
gold	Eng	h_2	20	20	0.46141666666666664	0.15996901947364064
gold	Eng	h_2	20	50	0.4838333333333334	0.14982698483852122
gold	Eng	h_2	20	100	0.4406347222222222	0.1542307390066989
gold	Eng	h_2	20	200	0.4616513888888889	0.17646318415104412
gold	Eng	h_2	20	500	0.4473444444444445	0.16641692548061257
gold	Eng	h_4	20	5	0.5482194444444444	0.1967833922476848
gold	Eng	h_4	20	10	0.5159638888888889	0.2084926981394532
gold	Eng	h_4	20	20	0.5169625000000001	0.21067182700603007
gold	Eng	h_4	20	50	0.5395555555555556	0.19572610638117696
gold	Eng	h_4	20	100	0.524113888888889	0.22529496850083028
gold	Eng	h_4	20	200	0.5084027777777778	0.19630814435112018
gold	Eng	h_4	20	500	0.5375	0.22280139889319686
gold	Eng	h_10	20	5	0.105	0.20365411854416304
gold	Eng	h_10	20	10	0.11	0.20712315177207982
gold	Eng	h_10	20	20	0.1	0.2
gold	Eng	h_10	20	50	0.115	0.21041625412500814
gold	Eng	h_10	20	100	0.11	0.20712315177207982
gold	Eng	h_10	20	200	0.08	0.18330302779823363
gold	Eng	h_10	20	500	0.115	0.21041625412500814
gold	Eng	h_19	20	5	0.075	0.17853571071357124
gold	Eng	h_19	20	10	0.08	0.18330302779823357
gold	Eng	h_19	20	20	0.135	0.22197972880423117
gold	Eng	h_19	20	50	0.1	0.2
gold	Eng	h_19	20	100	0.085	0.1878163997099295
gold	Eng	h_19	20	200	0.055	0.15644487847162017
gold	Eng	h_19	20	500	0.09	0.19209372712298547
gold	Eng	phonemic	20	5	0.27	0.24919871588754222
gold	Eng	phonemic	20	10	0.26	0.24979991993593592
gold	Eng	phonemic	20	20	0.285	0.24753787588973122
gold	Eng	phonemic	20	50	0.34	0.233238075793812
gold	Eng	phonemic	20	100	0.31	0.24269322199023197
gold	Eng	phonemic	20	200	0.295	0.2459166525471587
gold	Eng	phonemic	20	500	0.305	0.24387496796514396
gold	Eng	htk_80	20	5	0.5229499999999999	0.16914671146670276
gold	Eng	htk_80	20	10	0.508175	0.2143150003499522
gold	Eng	htk_80	20	20	0.543325	0.16864684069083538
gold	Eng	htk_80	20	50	0.5430375000000001	0.1806733287420974
gold	Eng	htk_80	20	100	0.49743750000000003	0.19123875579690952
gold	Eng	htk_80	20	200	0.5321124999999999	0.19425287119821422
gold	Eng	htk_80	20	500	0.51535	0.2000271137871064
gold	Eng	htk_160	20	5	0.6624305555555555	0.18324096736787215
gold	Eng	htk_160	20	10	0.6593402777777778	0.17368671617644627
gold	Eng	htk_160	20	20	0.6699305555555556	0.16096648501423988
gold	Eng	htk_160	20	50	0.6614236111111111	0.18519252408779696
gold	Eng	htk_160	20	100	0.6493055555555556	0.17551868679311686
gold	Eng	htk_160	20	200	0.6876388888888889	0.17009489227058883
gold	Eng	htk_160	20	500	0.6834375000000001	0.18071044037896616
gold	Eng	htk_320	20	5	0.72	0.44899888641287283
gold	Eng	htk_320	20	10	0.785	0.39531632903283925
gold	Eng	htk_320	20	20	0.795	0.40059330997908593
gold	Eng	htk_320	20	50	0.785	0.4077683165720456
gold	Eng	htk_320	20	100	0.76	0.41521078984053394
gold	Eng	htk_320	20	200	0.665	0.46397737013781176
gold	Eng	htk_320	20	500	0.74	0.4328972164382673
