Segmentation	language	variation	context	dimension	AUC	StD
gold	Eng	h_2	5	5	0.5222961451357083	0.04969096019351203
gold	Eng	h_2	5	10	0.5028491547248674	0.05123685403668373
gold	Eng	h_2	5	20	0.5048677595910468	0.04781104315864795
gold	Eng	h_2	5	50	0.5189608792697016	0.0446992314279246
gold	Eng	h_2	5	100	0.5301976377986127	0.04600706193853989
gold	Eng	h_2	5	200	0.5284695282662358	0.04362581506382341
gold	Eng	h_2	5	500	0.5159311509936887	0.048531673044818646
gold	Eng	h_4	5	5	0.498447435109818	0.03804285771459867
gold	Eng	h_4	5	10	0.5133908964567994	0.03641709079899748
gold	Eng	h_4	5	20	0.5068056920413095	0.036108950641362235
gold	Eng	h_4	5	50	0.5201467538988491	0.03621933518178753
gold	Eng	h_4	5	100	0.5335212713257852	0.03818025595770302
gold	Eng	h_4	5	200	0.5124639314493185	0.0365103641239519
gold	Eng	h_4	5	500	0.525195548574116	0.038816763283897576
gold	Eng	h_10	5	5	0.525120710870795	0.03418592468271449
gold	Eng	h_10	5	10	0.5723143466407967	0.02844370014452745
gold	Eng	h_10	5	20	0.5503866470369828	0.031297562857371126
gold	Eng	h_10	5	50	0.5479425054604625	0.03120121250299999
gold	Eng	h_10	5	100	0.5092320289343433	0.03190928109368951
gold	Eng	h_10	5	200	0.5501660641138004	0.03361504070981254
gold	Eng	h_10	5	500	0.5460629710344014	0.029150540358842514
gold	Eng	h_19	5	5	0.5454198177540374	0.04050174717802728
gold	Eng	h_19	5	10	0.5619090092901459	0.03323346906000292
gold	Eng	h_19	5	20	0.590492251847478	0.03280081689017588
gold	Eng	h_19	5	50	0.5709511674738887	0.036929304254599754
gold	Eng	h_19	5	100	0.5416965751136688	0.03037030746435437
gold	Eng	h_19	5	200	0.5597158964177767	0.042276758592074234
gold	Eng	h_19	5	500	0.5912195197122562	0.03359726724172003
gold	Eng	phonemic	5	5	0.6704156284231486	0.014724219624606988
gold	Eng	phonemic	5	10	0.7119574301607413	0.01518623442594956
gold	Eng	phonemic	5	20	0.7346431606754618	0.012068988906575264
gold	Eng	phonemic	5	50	0.734965422342851	0.012728418148830209
gold	Eng	phonemic	5	100	0.7541613421612662	0.014211608657878454
gold	Eng	phonemic	5	200	0.750019782993958	0.01321190492988674
gold	Eng	phonemic	5	500	0.7107585866681138	0.013094568765526683
gold	Eng	htk_80	5	5	0.6239944423153667	0.016548525596501544
gold	Eng	htk_80	5	10	0.6591750248688056	0.014143783110256162
gold	Eng	htk_80	5	20	0.7008310995084437	0.016243036005116493
gold	Eng	htk_80	5	50	0.7149497786009492	0.014626010483893052
gold	Eng	htk_80	5	100	0.7307806195193592	0.014516129025162852
gold	Eng	htk_80	5	200	0.7025288587600639	0.015228277046135181
gold	Eng	htk_80	5	500	0.6801402541132162	0.013966258715698326
gold	Eng	htk_160	5	5	0.6492278753670689	0.013766398377999435
gold	Eng	htk_160	5	10	0.6695085765147555	0.014203397077244396
gold	Eng	htk_160	5	20	0.6833754764602779	0.015356069965884608
gold	Eng	htk_160	5	50	0.7069793903790333	0.01336693237852814
gold	Eng	htk_160	5	100	0.7028986730831225	0.013549378993234596
gold	Eng	htk_160	5	200	0.710966452176308	0.013589803897208734
