Segmentation	language	variation	context	dimension	AUC	StD
gold	Jap	h_2	5	5	0.5226774773433553	0.03574913039298985
gold	Jap	h_2	5	10	0.5242210897995669	0.03465492904696807
gold	Jap	h_2	5	20	0.5244438282834913	0.031234692782036833
gold	Jap	h_2	5	50	0.5312611838481464	0.03267718717080282
gold	Jap	h_2	5	100	0.5298912174119569	0.0335886447594228
gold	Jap	h_2	5	200	0.5235465218579644	0.03458245497044765
gold	Jap	h_2	5	500	0.5422867417123848	0.036415557661098344
gold	Jap	h_4	5	5	0.529582522195923	0.019838828561735966
gold	Jap	h_4	5	10	0.5313925598223243	0.020902511596350697
gold	Jap	h_4	5	20	0.5215770141277316	0.024116408988777482
gold	Jap	h_4	5	50	0.521529690570082	0.01919972501025863
gold	Jap	h_4	5	100	0.5096144208966183	0.02420982256830749
gold	Jap	h_4	5	200	0.5213313522757868	0.023165330669812915
gold	Jap	h_4	5	500	0.5078957915098917	0.02292099394428263
gold	Jap	h_8	5	5	0.5710276081252507	0.011849900973241645
gold	Jap	h_8	5	10	0.5676732026740609	0.011244494806323061
gold	Jap	h_8	5	20	0.5600032708267423	0.011069238335572804
gold	Jap	h_8	5	50	0.5647498399119697	0.010944865289321981
gold	Jap	h_8	5	100	0.562075851582896	0.011632599334452782
gold	Jap	h_8	5	200	0.5529270969396569	0.011218938871497022
gold	Jap	h_8	5	500	0.5484238311589766	0.011802028477080466
gold	Jap	h_13	5	5	0.5925245819018083	0.010603689039405513
gold	Jap	h_13	5	10	0.6067517142079977	0.011438389993468604
gold	Jap	h_13	5	20	0.6081361808223794	0.01043601724362568
gold	Jap	h_13	5	50	0.6000423012001375	0.011855280447196562
gold	Jap	h_13	5	100	0.5918827184859269	0.011228450838167332
gold	Jap	h_13	5	200	0.5841042898755573	0.01085468584679756
gold	Jap	h_13	5	500	0.5718488037825169	0.01288990458796682
gold	Jap	phonemic	5	5	0.7682573036164819	0.00743803122938244
gold	Jap	phonemic	5	10	0.7903066626949017	0.005693651137753704
gold	Jap	phonemic	5	20	0.8034421469572749	0.00543031042112125
gold	Jap	phonemic	5	50	0.8155778697780495	0.005230898997799764
gold	Jap	phonemic	5	100	0.8230677086659013	0.0046817184124494406
gold	Jap	phonemic	5	200	0.82472565168589	0.004067970342615582
gold	Jap	phonemic	5	500	0.8244284510565748	0.005079671748774692
gold	Jap	htk_50	5	5	0.7686761315386303	0.005100376533822522
gold	Jap	htk_50	5	10	0.7919116202771387	0.004933211755185747
gold	Jap	htk_50	5	20	0.7968685466405552	0.004665907680286496
gold	Jap	htk_50	5	50	0.8084245727018063	0.003855016377372369
gold	Jap	htk_50	5	100	0.8287159710182873	0.00387654368186725
gold	Jap	htk_50	5	200	0.826390796566104	0.00407580484494093
gold	Jap	htk_50	5	500	0.8239426214478266	0.00399541444004479
gold	Jap	htk_100	5	5	0.7375693784699432	0.0047095009652806195
gold	Jap	htk_100	5	10	0.754805998020459	0.004785036319005326
gold	Jap	htk_100	5	20	0.7562508781336121	0.004736649443231188
gold	Jap	htk_100	5	50	0.7658183314502154	0.004068896335697688
gold	Jap	htk_100	5	100	0.7761415534758284	0.004079600032950582
gold	Jap	htk_100	5	200	0.7771934550102799	0.004173250757192109
