Segmentation	language	variation	context	dimension	AUC	StD
gold	Jap	h_2	5	5	0.6162583940762595	0.08034032514019504
gold	Jap	h_2	5	10	0.6130230200357013	0.08438796225806376
gold	Jap	h_2	5	20	0.565342361895117	0.0812425151089003
gold	Jap	h_2	5	50	0.5557921768433322	0.08890169181465725
gold	Jap	h_2	5	100	0.5825786707282903	0.08532148720136508
gold	Jap	h_2	5	200	0.5501152060639147	0.07453804906417559
gold	Jap	h_2	5	500	0.5571904223338442	0.0737636380144671
gold	Jap	h_4	5	5	0.4726421337476054	0.06227172537908359
gold	Jap	h_4	5	10	0.4674994983115079	0.06611917727062881
gold	Jap	h_4	5	20	0.5391623657242854	0.0729320008145913
gold	Jap	h_4	5	50	0.5520725726158219	0.07040865864202421
gold	Jap	h_4	5	100	0.5439339866928923	0.06985934549947166
gold	Jap	h_4	5	200	0.5389461197160793	0.06153916044329198
gold	Jap	h_4	5	500	0.544611893353116	0.06556898996193875
gold	Jap	h_8	5	5	0.5968721421928823	0.05809747495047746
gold	Jap	h_8	5	10	0.5360938402647439	0.05775784456069654
gold	Jap	h_8	5	20	0.5114534350972272	0.05156763526182456
gold	Jap	h_8	5	50	0.5455287799587719	0.05133690584576358
gold	Jap	h_8	5	100	0.5774488515621422	0.05008911051457878
gold	Jap	h_8	5	200	0.47393113207283216	0.04754502923341923
gold	Jap	h_8	5	500	0.4833100951197186	0.04321049533838117
gold	Jap	h_13	5	5	0.670853451519307	0.05681269780964406
gold	Jap	h_13	5	10	0.6664566904275742	0.050207630351596665
gold	Jap	h_13	5	20	0.6947724457731792	0.051641764968767344
gold	Jap	h_13	5	50	0.6559470682378539	0.04866598068870623
gold	Jap	h_13	5	100	0.6687130143670922	0.04768629375128467
gold	Jap	h_13	5	200	0.6526802207492364	0.04048721809786588
gold	Jap	h_13	5	500	0.6547375449850624	0.04575251721612363
gold	Jap	phonemic	5	5	0.7315109718917313	0.04228923955488198
gold	Jap	phonemic	5	10	0.8030741653033907	0.031682963860815656
gold	Jap	phonemic	5	20	0.7824383923259964	0.04613843824110892
gold	Jap	phonemic	5	50	0.7781186774985129	0.035640226297014466
gold	Jap	phonemic	5	100	0.7103660488548482	0.03038269636863089
gold	Jap	phonemic	5	200	0.7423887157941701	0.03661825512447424
gold	Jap	phonemic	5	500	0.7437200308596075	0.03807207419993486
gold	Jap	htk_50	5	5	0.7369455029236193	0.030267984727239988
gold	Jap	htk_50	5	10	0.7800167853597071	0.028777173435815723
gold	Jap	htk_50	5	20	0.7500596032623964	0.025429379377656734
gold	Jap	htk_50	5	50	0.7441192722817447	0.032825704624470556
gold	Jap	htk_50	5	100	0.6661512281708396	0.03154506579831929
gold	Jap	htk_50	5	200	0.657304661881268	0.02999420004310823
gold	Jap	htk_50	5	500	0.6562212484247464	0.0341686505463343
gold	Jap	htk_100	5	5	0.6959858872435818	0.028270736977604773
gold	Jap	htk_100	5	10	0.7269572248163414	0.02675573572846475
gold	Jap	htk_100	5	20	0.7395809137707902	0.027371669914885984
gold	Jap	htk_100	5	50	0.7226304812605429	0.030063357619918477
gold	Jap	htk_100	5	100	0.6841864199670874	0.03223959939665645
gold	Jap	htk_100	5	200	0.6413986042818658	0.03476563736266139
gold	Jap	htk_100	5	500	0.6440879689998994	0.030484477031618357
gold	Jap	htk_200	5	5	0.6664249821852297	0.03578027189586354
gold	Jap	htk_200	5	10	0.6721556614707971	0.028617700057432756
gold	Jap	htk_200	5	20	0.6822584062231265	0.033793213743482514
gold	Jap	htk_200	5	50	0.6098355370443879	0.03301917028291527
gold	Jap	htk_200	5	100	0.5762772428966254	0.030612532549241976
gold	Jap	htk_200	5	200	0.5863984613837101	0.0326726217597168
gold	Jap	htk_200	5	500	0.5864160208603877	0.03163606560106319
gold	Jap	h_2	10	5	0.5763185380800262	0.07640849460071827
gold	Jap	h_2	10	10	0.5681742260541367	0.08009284823726606
gold	Jap	h_2	10	20	0.5694321859659514	0.08031512862209166
gold	Jap	h_2	10	50	0.5544314896443653	0.09257979026909666
gold	Jap	h_2	10	100	0.55525308222416	0.07903247192172713
gold	Jap	h_2	10	200	0.5629040949864906	0.08652362420898346
gold	Jap	h_2	10	500	0.5642481806092257	0.08799439704796345
gold	Jap	h_4	10	5	0.46994386763690954	0.0712962429911721
gold	Jap	h_4	10	10	0.4794962517537387	0.06057949993526039
gold	Jap	h_4	10	20	0.4836454996317553	0.07106242372729348
gold	Jap	h_4	10	50	0.5257565242257962	0.06112198341573255
gold	Jap	h_4	10	100	0.5088423552137746	0.06363480835700054
gold	Jap	h_4	10	200	0.5028515255879016	0.0635249951114095
gold	Jap	h_4	10	500	0.5055880320199315	0.07050565273845022
gold	Jap	h_8	10	5	0.5036564363646967	0.05497684612066829
gold	Jap	h_8	10	10	0.4341753105949861	0.050002842846818066
gold	Jap	h_8	10	20	0.4066265659047651	0.05456144332452831
gold	Jap	h_8	10	50	0.4813953364076369	0.05803922047200363
gold	Jap	h_8	10	100	0.4911622305009272	0.059377589834300415
gold	Jap	h_8	10	200	0.47961482677426476	0.05440337355796627
gold	Jap	h_8	10	500	0.47019976913028794	0.04889728537524794
gold	Jap	h_13	10	5	0.6023444982427726	0.061104732577777536
gold	Jap	h_13	10	10	0.6312430556300364	0.042443329897937816
gold	Jap	h_13	10	20	0.6295809304341272	0.046016169119883946
gold	Jap	h_13	10	50	0.6699048137953035	0.042960953897738845
gold	Jap	h_13	10	100	0.6354803475040627	0.042764494647772586
gold	Jap	h_13	10	200	0.6456952028792071	0.042616792703787064
gold	Jap	h_13	10	500	0.6375293730521231	0.04414260787094812
gold	Jap	phonemic	10	5	0.7325635205978582	0.038949786828188476
gold	Jap	phonemic	10	10	0.7837411864217728	0.03767184955553998
gold	Jap	phonemic	10	20	0.772330404149316	0.037453872388363674
gold	Jap	phonemic	10	50	0.7297036901397976	0.04303795881395805
gold	Jap	phonemic	10	100	0.7252929562016657	0.0389030492271535
gold	Jap	phonemic	10	200	0.7232297572129682	0.039142334087980124
gold	Jap	phonemic	10	500	0.7227737117043425	0.03932989203662361
gold	Jap	htk_50	10	5	0.7631676798037765	0.03057332681554938
gold	Jap	htk_50	10	10	0.7533060981684835	0.030276955276276926
gold	Jap	htk_50	10	20	0.7333382045842096	0.02877387573499205
gold	Jap	htk_50	10	50	0.6700457620657488	0.03183904731677979
