Segmentation	language	variation	context	dimension	AUC	StD
gold	Jap	h_2	5	5	0.5369611751658527	0.056863112100344754
gold	Jap	h_2	5	10	0.5641927156035841	0.052160925951577536
gold	Jap	h_2	5	20	0.5593060799558568	0.05660526692469343
gold	Jap	h_2	5	50	0.5601188471841181	0.05367594604010046
gold	Jap	h_2	5	100	0.5863065562197901	0.06018934736467754
gold	Jap	h_2	5	200	0.5551252184168254	0.053445818654418796
gold	Jap	h_2	5	500	0.5807917662807267	0.051175035702372466
gold	Jap	h_4	5	5	0.4901936151281346	0.04034376665354923
gold	Jap	h_4	5	10	0.5019174629005059	0.03846967989771405
gold	Jap	h_4	5	20	0.49738525237462683	0.03572479638961846
gold	Jap	h_4	5	50	0.5232713448113561	0.03357706916526807
gold	Jap	h_4	5	100	0.5300446281870123	0.03567437066262636
gold	Jap	h_4	5	200	0.5492619902684805	0.03593248906257113
gold	Jap	h_4	5	500	0.5330849452579265	0.03530648771617323
gold	Jap	h_8	5	5	0.5816634080676887	0.022718214120845927
gold	Jap	h_8	5	10	0.6060529523428296	0.02544549807496082
gold	Jap	h_8	5	20	0.6191159982582191	0.023191100346687508
gold	Jap	h_8	5	50	0.6081099684528963	0.024339845893878484
gold	Jap	h_8	5	100	0.6132412810234719	0.023807335463276964
gold	Jap	h_8	5	200	0.6137450942210778	0.02335254682793785
gold	Jap	h_8	5	500	0.5838718895451624	0.023146879294129327
gold	Jap	h_13	5	5	0.5881740942091794	0.027471820485607566
gold	Jap	h_13	5	10	0.5827090912832364	0.02589567798393506
gold	Jap	h_13	5	20	0.6039010911583873	0.026351427282250563
gold	Jap	h_13	5	50	0.5985576284077095	0.024034350882357898
gold	Jap	h_13	5	100	0.5887001373024221	0.02571885781296881
gold	Jap	h_13	5	200	0.6167978443581065	0.024744784966855504
gold	Jap	h_13	5	500	0.5897764330434125	0.02414323109659078
gold	Jap	phonemic	5	5	0.7994139680145393	0.01542986700781437
gold	Jap	phonemic	5	10	0.8306949356244157	0.013672622464683395
gold	Jap	phonemic	5	20	0.848423244851629	0.01103727578025404
gold	Jap	phonemic	5	50	0.8660300024105814	0.009455911399905786
gold	Jap	phonemic	5	100	0.851614913054596	0.010073165201657417
gold	Jap	phonemic	5	200	0.8178194561612099	0.011526402343935817
gold	Jap	phonemic	5	500	0.7656983655694237	0.010347110453465806
gold	Jap	htk_50	5	5	0.7731114956337914	0.011248376004779927
gold	Jap	htk_50	5	10	0.801755855763664	0.009573162330416286
gold	Jap	htk_50	5	20	0.8354620405286832	0.00871801512122007
gold	Jap	htk_50	5	50	0.8427581564569376	0.008906834332636367
gold	Jap	htk_50	5	100	0.8311400939508741	0.008313480810720896
gold	Jap	htk_50	5	200	0.79991586209841	0.008821961105727798
gold	Jap	htk_50	5	500	0.7473353024747782	0.010217326507481053
gold	Jap	htk_100	5	5	0.7491994239079597	0.010334016538487787
gold	Jap	htk_100	5	10	0.7706904739591426	0.010015419496221383
gold	Jap	htk_100	5	20	0.7994565966057398	0.008940346520870505
gold	Jap	htk_100	5	50	0.8059573918374765	0.008364953721002459
gold	Jap	htk_100	5	100	0.7891246086057976	0.009141517294708837
gold	Jap	htk_100	5	200	0.7668449523069951	0.009163798753031478
gold	Jap	htk_100	5	500	0.742245083684357	0.010181200533871832
gold	Jap	htk_200	5	5	0.7118597607964428	0.010108017957317543
gold	Jap	htk_200	5	10	0.7426276691300903	0.009926757657730344
gold	Jap	htk_200	5	20	0.7520014002656339	0.009017245577257986
gold	Jap	htk_200	5	50	0.7609988607398008	0.009282462172602658
gold	Jap	htk_200	5	100	0.7477683425103391	0.007919449728935511
gold	Jap	htk_200	5	200	0.7293801254822432	0.008799465400659267
gold	Jap	htk_200	5	500	0.7016308468599779	0.009350418168412082
gold	Jap	h_2	10	5	0.5397266900116683	0.058417349085664004
gold	Jap	h_2	10	10	0.5285764215640761	0.056033159009300754
gold	Jap	h_2	10	20	0.538972051331768	0.050361630538050706
gold	Jap	h_2	10	50	0.5842406861133765	0.058563894119311774
gold	Jap	h_2	10	100	0.5617216726509793	0.05609023732771823
gold	Jap	h_2	10	200	0.5762896300250088	0.05620037129040219
gold	Jap	h_2	10	500	0.594646777448923	0.05426425201950507
gold	Jap	h_4	10	5	0.49307176202308023	0.043014773551643355
gold	Jap	h_4	10	10	0.5181495468497956	0.03931795567880839
gold	Jap	h_4	10	20	0.5194588392077286	0.03596798259530771
gold	Jap	h_4	10	50	0.5323077289146246	0.03949882367734362
gold	Jap	h_4	10	100	0.5206025178621908	0.041000171834161936
gold	Jap	h_4	10	200	0.5373228464659885	0.03748182499826387
gold	Jap	h_4	10	500	0.5243756408501226	0.03528040367474991
gold	Jap	h_8	10	5	0.5807007071765022	0.025219970763712386
gold	Jap	h_8	10	10	0.613572967294619	0.02293174510145098
gold	Jap	h_8	10	20	0.6205044870178105	0.023130786696871335
gold	Jap	h_8	10	50	0.6040600538492668	0.022831580389521475
gold	Jap	h_8	10	100	0.6143176391055156	0.023022878264749174
gold	Jap	h_8	10	200	0.617934082102169	0.02218640268503734
gold	Jap	h_8	10	500	0.6146837486280696	0.023490316582180964
gold	Jap	h_13	10	5	0.5848183134129472	0.02532543243692144
gold	Jap	h_13	10	10	0.5916135361729395	0.025726177912469193
gold	Jap	h_13	10	20	0.605633272539035	0.025700402563756594
gold	Jap	h_13	10	50	0.6107645003383153	0.026667235863560894
gold	Jap	h_13	10	100	0.6252751486064551	0.024805850866317855
gold	Jap	h_13	10	200	0.6069701726111995	0.024042343051445814
gold	Jap	h_13	10	500	0.6400321723861784	0.024455455014741154
gold	Jap	phonemic	10	5	0.7927583348127607	0.014297503357590264
gold	Jap	phonemic	10	10	0.8277526939650222	0.012377326580827297
gold	Jap	phonemic	10	20	0.867791185996839	0.012716291625380934
gold	Jap	phonemic	10	50	0.8723952832403802	0.011565145579250265
gold	Jap	phonemic	10	100	0.8461416793095831	0.010068573249746212
gold	Jap	phonemic	10	200	0.8022122791449601	0.010545813697371488
gold	Jap	phonemic	10	500	0.7900643079554358	0.012349647014700491
gold	Jap	htk_50	10	5	0.7600880994708049	0.010041726755400151
gold	Jap	htk_50	10	10	0.7978265643701599	0.010212183121133065
gold	Jap	htk_50	10	20	0.8405515617442569	0.0094930308322601
gold	Jap	htk_50	10	50	0.8400568794411807	0.009221604360696231
gold	Jap	htk_50	10	100	0.8176576050938131	0.009225879887096935
gold	Jap	htk_50	10	200	0.7861481630623289	0.008323212771984173
gold	Jap	htk_50	10	500	0.7440160628702043	0.010597044919548226
gold	Jap	htk_100	10	5	0.7587190618801455	0.009292229843896896
gold	Jap	htk_100	10	10	0.7935584376108897	0.009728163622953716
gold	Jap	htk_100	10	20	0.8158251395725209	0.0075839630792385974
gold	Jap	htk_100	10	50	0.8112912626273219	0.008584691225511476
gold	Jap	htk_100	10	100	0.7922982385501985	0.008456188959190966
gold	Jap	htk_100	10	200	0.7706011038187824	0.009613083491218819
gold	Jap	htk_100	10	500	0.7240163493100567	0.008826879995749597
gold	Jap	htk_200	10	5	0.7127216827118948	0.010638886592797108
gold	Jap	htk_200	10	10	0.7496809251205352	0.009641258866718606
gold	Jap	htk_200	10	20	0.7852843944044179	0.009127079926348638
gold	Jap	htk_200	10	50	0.7756826176657532	0.009539679453591132
gold	Jap	htk_200	10	100	0.763077734174917	0.009723528280644482
gold	Jap	htk_200	10	200	0.740619075067073	0.008240666128047958
gold	Jap	htk_200	10	500	0.682450793345901	0.01050487797119024
gold	Jap	h_2	20	5	0.5556343841623781	0.06156661731377077
gold	Jap	h_2	20	10	0.5275280714688612	0.05285485532211665
gold	Jap	h_2	20	20	0.5246442063076187	0.049248993221259925
gold	Jap	h_2	20	50	0.5666818737178613	0.05478257464198697
gold	Jap	h_2	20	100	0.5686053451951676	0.04970900594238908
gold	Jap	h_2	20	200	0.5727782946980984	0.04734490110836022
gold	Jap	h_2	20	500	0.5790275830896142	0.05010267326347454
gold	Jap	h_4	20	5	0.4947581132651981	0.036949835091600984
gold	Jap	h_4	20	10	0.5081636651692027	0.0369995148217681
gold	Jap	h_4	20	20	0.5063122307012093	0.0371534764488333
gold	Jap	h_4	20	50	0.49654085405814946	0.039886311167946824
gold	Jap	h_4	20	100	0.5047873228107247	0.041516974306190536
gold	Jap	h_4	20	200	0.5087285601977903	0.04185554566548634
gold	Jap	h_4	20	500	0.4923338399933291	0.04041919607802182
gold	Jap	h_8	20	5	0.5833040755689889	0.024789667306955705
gold	Jap	h_8	20	10	0.6164585789023677	0.023859755688492763
gold	Jap	h_8	20	20	0.6291348431919527	0.022774630363111073
gold	Jap	h_8	20	50	0.6100384397086814	0.024264431236847395
gold	Jap	h_8	20	100	0.6181680571151242	0.022721999519271667
gold	Jap	h_8	20	200	0.623702397284295	0.022331046264821797
gold	Jap	h_8	20	500	0.6145805614203944	0.026446818358834244
gold	Jap	h_13	20	5	0.5776238542386078	0.02493128569900381
gold	Jap	h_13	20	10	0.5986261677872805	0.029634157391840287
gold	Jap	h_13	20	20	0.6188334603368705	0.026087748295931787
gold	Jap	h_13	20	50	0.6269858306815848	0.023610993086853667
gold	Jap	h_13	20	100	0.6466998733013599	0.025877910393033225
gold	Jap	h_13	20	200	0.6494448536992339	0.0254642227964403
gold	Jap	h_13	20	500	0.6425815365926382	0.024069886945227964
gold	Jap	phonemic	20	5	0.7922199280159404	0.013377633190773888
gold	Jap	phonemic	20	10	0.8350782138687117	0.012140160503512286
gold	Jap	phonemic	20	20	0.8589287134390876	0.010211049170154673
gold	Jap	phonemic	20	50	0.8620368617923893	0.009849542136951616
gold	Jap	phonemic	20	100	0.83599846884057	0.010579541493126458
gold	Jap	phonemic	20	200	0.7949236642267691	0.01127114048070822
gold	Jap	phonemic	20	500	0.7962594330633637	0.012636006720431237
gold	Jap	htk_50	20	5	0.7679830679101791	0.010764432793381474
gold	Jap	htk_50	20	10	0.8046504934047498	0.009366522973664056
gold	Jap	htk_50	20	20	0.8372729850147512	0.00893820749778302
gold	Jap	htk_50	20	50	0.834200893616455	0.007940139480482248
gold	Jap	htk_50	20	100	0.8157182167596185	0.009219545452025515
gold	Jap	htk_50	20	200	0.7788059915191659	0.009511357994161994
gold	Jap	htk_50	20	500	0.7674163152612618	0.010330723275826818
gold	Jap	htk_100	20	5	0.7563956918806609	0.008892839534856818
gold	Jap	htk_100	20	10	0.7937595350367979	0.008630921358199652
gold	Jap	htk_100	20	20	0.8223561030217852	0.008614524834522835
gold	Jap	htk_100	20	50	0.8137036589011172	0.008021212268690979
gold	Jap	htk_100	20	100	0.7922730642385736	0.009938151557509612
gold	Jap	htk_100	20	200	0.7602814634445377	0.009664337427370174
gold	Jap	htk_100	20	500	0.7341580700828415	0.009572907099657914
gold	Jap	htk_200	20	5	0.7049606509146834	0.01098151302569355
gold	Jap	htk_200	20	10	0.750617086988138	0.011202574167485456
gold	Jap	htk_200	20	20	0.7877138870601529	0.008826436497813417
gold	Jap	htk_200	20	50	0.7778684711891696	0.008598295223055406
gold	Jap	htk_200	20	100	0.7592613418440919	0.008993002884256432
gold	Jap	htk_200	20	200	0.7169563741088318	0.008246495822319011
gold	Jap	htk_200	20	500	0.6811629379923962	0.01022408309211941
gold	Jap	h_2	50	5	0.511135671801594	0.057510930598749024
gold	Jap	h_2	50	10	0.5253058797785929	0.05300234239261852
gold	Jap	h_2	50	20	0.5565806906666374	0.05141779469683673
gold	Jap	h_2	50	50	0.551567373778948	0.053867353413042676
gold	Jap	h_2	50	100	0.5670206721529304	0.053405103465872336
gold	Jap	h_2	50	200	0.5588329198610079	0.04504511396457909
gold	Jap	h_2	50	500	0.57391503148694	0.0523926785520445
gold	Jap	h_4	50	5	0.49388439366290365	0.038310177815647745
gold	Jap	h_4	50	10	0.4979874545116462	0.04070659582679811
gold	Jap	h_4	50	20	0.4898336712035772	0.0383833696590226
gold	Jap	h_4	50	50	0.48538868185057993	0.04376203799941055
gold	Jap	h_4	50	100	0.4901218215015751	0.040809495529230674
gold	Jap	h_4	50	200	0.5047679451505003	0.03928578057559968
gold	Jap	h_4	50	500	0.5032145901507341	0.03994112909569746
gold	Jap	h_8	50	5	0.5931921584931756	0.022919944848202225
gold	Jap	h_8	50	10	0.5871466021674604	0.025491036916648464
gold	Jap	h_8	50	20	0.6105735005678476	0.023806580240153953
gold	Jap	h_8	50	50	0.6054643271672738	0.024663957863695837
gold	Jap	h_8	50	100	0.6023479000198428	0.02118189410726308
gold	Jap	h_8	50	200	0.6085965913276087	0.021871904175397465
gold	Jap	h_8	50	500	0.6123335033567228	0.022256535377667547
gold	Jap	h_13	50	5	0.5909269790347333	0.03024492542159608
gold	Jap	h_13	50	10	0.5985286962315081	0.024333238258433837
gold	Jap	h_13	50	20	0.6101111763269048	0.02770122807384633
gold	Jap	h_13	50	50	0.6164073863588361	0.026402258750753353
gold	Jap	h_13	50	100	0.6183724838547652	0.024550160369334606
gold	Jap	h_13	50	200	0.6252181781716505	0.027041651273769774
gold	Jap	h_13	50	500	0.6246451087733479	0.026411625477451496
gold	Jap	phonemic	50	5	0.7623791208262312	0.014372509926370888
gold	Jap	phonemic	50	10	0.8052325482193322	0.0143151651581642
gold	Jap	phonemic	50	20	0.8475075727289415	0.01252010584329294
gold	Jap	phonemic	50	50	0.8328818886562047	0.011938171981334941
