Segmentation	language	variation	context	dimension	AUC	StD
rand	Eng	h_2	5	5	0.6027234814234828	0.03496978945168013
rand	Eng	h_2	5	10	0.621995974057297	0.03332198830983773
rand	Eng	h_2	5	20	0.6154385129962759	0.030135665498589256
rand	Eng	h_2	5	50	0.5962973854706136	0.036214733437694734
rand	Eng	h_2	5	100	0.5751288529364456	0.03824082104609581
rand	Eng	h_2	5	200	0.5507307491063502	0.03968033194454294
rand	Eng	h_2	5	500	0.5440265464510593	0.03552910434429833
rand	Eng	h_4	5	5	0.5565597093475522	0.021138390024230166
rand	Eng	h_4	5	10	0.5726655648890333	0.025561891489492262
rand	Eng	h_4	5	20	0.5797858915554461	0.024044680500008436
rand	Eng	h_4	5	50	0.5612891130860147	0.026434605062160395
rand	Eng	h_4	5	100	0.5506637011808794	0.0241875894085708
rand	Eng	h_4	5	200	0.537513323077144	0.029467015916461725
rand	Eng	h_4	5	500	0.5307399350369297	0.024695145845583678
rand	Eng	h_10	5	5	0.5353595992546946	0.009651253772958343
rand	Eng	h_10	5	10	0.548641399549357	0.009488587218810695
rand	Eng	h_10	5	20	0.5402008597373182	0.009665132666339614
rand	Eng	h_10	5	50	0.5418400910945236	0.01024771642747095
rand	Eng	h_10	5	100	0.5310600414982366	0.010920896741360889
rand	Eng	h_10	5	200	0.527008457007992	0.009079229530782882
rand	Eng	h_10	5	500	0.5161948430744632	0.00942378014604078
rand	Eng	h_19	5	5	0.5383792435322207	0.0071309917613327275
rand	Eng	h_19	5	10	0.5652438133739482	0.00791352121162332
rand	Eng	h_19	5	20	0.5697342845805408	0.0072615441799580484
rand	Eng	h_19	5	50	0.5604096423738696	0.009011683728289274
rand	Eng	h_19	5	100	0.5473717938629434	0.007897752295722206
rand	Eng	h_19	5	200	0.5398087741842247	0.008548619083831168
rand	Eng	h_19	5	500	0.530389825310766	0.0088553418786002
rand	Eng	phonemic	5	5	0.5601052288435249	0.007818101636221183
rand	Eng	phonemic	5	10	0.6127107267756218	0.006991458078339374
rand	Eng	phonemic	5	20	0.6130645014082362	0.007436637344696025
rand	Eng	phonemic	5	50	0.6056982343276619	0.007455381701362557
rand	Eng	phonemic	5	100	0.6007622700700428	0.006975605990211852
rand	Eng	phonemic	5	200	0.5768071724455597	0.008420086301351572
rand	Eng	phonemic	5	500	0.5648200731719322	0.00675245832031594
rand	Eng	htk_80	5	5	0.5676325733348978	0.007102816496133705
rand	Eng	htk_80	5	10	0.6159716150907336	0.00657976249797573
rand	Eng	htk_80	5	20	0.6172191949701227	0.006461313900988053
rand	Eng	htk_80	5	50	0.6076157665003609	0.006546638612420252
rand	Eng	htk_80	5	100	0.6045570052330637	0.0077479730821661385
rand	Eng	htk_80	5	200	0.591634980251309	0.006803972123502786
rand	Eng	htk_80	5	500	0.5734695757227961	0.007377358166713836
rand	Eng	htk_160	5	5	0.553714412596456	0.007125326626692043
rand	Eng	htk_160	5	10	0.5991927788132949	0.006685886722147744
rand	Eng	htk_160	5	20	0.6023764804480145	0.006325616942774615
rand	Eng	htk_160	5	50	0.6004472586669174	0.005981549584179792
rand	Eng	htk_160	5	100	0.597076059767528	0.007363246695563123
rand	Eng	htk_160	5	200	0.5792290187814408	0.006482272313649297
rand	Eng	htk_160	5	500	0.5652350013258048	0.006861061757234783
rand	Eng	htk_320	5	5	0.5536040965813412	0.0059947258239830496
rand	Eng	htk_320	5	10	0.5990590960436138	0.00589271078391803
rand	Eng	htk_320	5	20	0.605951360143949	0.005699562584446913
rand	Eng	htk_320	5	50	0.6044153974362768	0.005629810103879201
rand	Eng	htk_320	5	100	0.5870882979460487	0.005647507651842083
rand	Eng	htk_320	5	200	0.5816754230459719	0.00680575336476705
rand	Eng	htk_320	5	500	0.5720064206126154	0.006494017469638353
rand	Eng	h_2	10	5	0.6013697980661861	0.03371998479499602
rand	Eng	h_2	10	10	0.6125304774647261	0.03754419149826957
rand	Eng	h_2	10	20	0.6077776185171423	0.03612369745850432
rand	Eng	h_2	10	50	0.5903798784508821	0.03777168881463766
rand	Eng	h_2	10	100	0.5769387097529417	0.03946718889955939
rand	Eng	h_2	10	200	0.5579255166989282	0.03191461808727486
rand	Eng	h_2	10	500	0.5707826715311736	0.03720920606708229
rand	Eng	h_4	10	5	0.5585111605119745	0.023439507806238723
rand	Eng	h_4	10	10	0.579543702814542	0.02264274388589427
rand	Eng	h_4	10	20	0.5714381960438658	0.027051443300137288
rand	Eng	h_4	10	50	0.5492367681197087	0.02598933889170468
rand	Eng	h_4	10	100	0.5519327870383777	0.02200307832959623
rand	Eng	h_4	10	200	0.532665348036777	0.02682396555544781
rand	Eng	h_4	10	500	0.5307090154123579	0.02282667052121447
rand	Eng	h_10	10	5	0.53811395833874	0.009726619309288358
rand	Eng	h_10	10	10	0.5528600821486132	0.008997993486052212
rand	Eng	h_10	10	20	0.5426591179382858	0.009714902732809973
rand	Eng	h_10	10	50	0.5337839260158819	0.010515770490607776
rand	Eng	h_10	10	100	0.532934323574646	0.010274485810684535
rand	Eng	h_10	10	200	0.5142078767420575	0.010984176827820366
rand	Eng	h_10	10	500	0.5195371686269492	0.010241099931346117
rand	Eng	h_19	10	5	0.5457543502335236	0.008285424723257056
rand	Eng	h_19	10	10	0.560859033326607	0.008395299511244618
rand	Eng	h_19	10	20	0.5590147572516304	0.008193424858862158
rand	Eng	h_19	10	50	0.5529906584813146	0.008801669189568045
rand	Eng	h_19	10	100	0.5381473227119427	0.008211425537252418
rand	Eng	h_19	10	200	0.5324411385064204	0.008168523837669778
rand	Eng	h_19	10	500	0.5255106433232056	0.007602777085142402
rand	Eng	phonemic	10	5	0.5824896789940363	0.00878468250993245
rand	Eng	phonemic	10	10	0.6066116767489863	0.007457903798687949
rand	Eng	phonemic	10	20	0.6015454816917633	0.007163867102832614
rand	Eng	phonemic	10	50	0.5923972360220932	0.00784576341460226
rand	Eng	phonemic	10	100	0.5765947694069569	0.007230990427497467
rand	Eng	phonemic	10	200	0.5738004516403774	0.00823673100123013
rand	Eng	phonemic	10	500	0.5584985172651469	0.008750990376945092
rand	Eng	htk_80	10	5	0.587309280213963	0.007466440602266191
rand	Eng	htk_80	10	10	0.6161795365723237	0.00674190330846409
rand	Eng	htk_80	10	20	0.6157793057194842	0.006731484357259954
rand	Eng	htk_80	10	50	0.6014900466224892	0.006449561531801958
rand	Eng	htk_80	10	100	0.5870963961401734	0.006671119625707107
rand	Eng	htk_80	10	200	0.5696862729534604	0.007199963478630528
rand	Eng	htk_80	10	500	0.5630461526205754	0.007191357841608333
rand	Eng	htk_160	10	5	0.5751539786807961	0.006122578314062533
rand	Eng	htk_160	10	10	0.6096210536654099	0.006483615073448662
rand	Eng	htk_160	10	20	0.6006452414232953	0.00615799763730783
rand	Eng	htk_160	10	50	0.6010776277532884	0.006994910292842711
rand	Eng	htk_160	10	100	0.5834757124679171	0.006921812071204791
rand	Eng	htk_160	10	200	0.5674254921107107	0.00682840192868244
rand	Eng	htk_160	10	500	0.5663963069564192	0.0064520947465661485
rand	Eng	htk_320	10	5	0.588146798611948	0.006571986198983264
rand	Eng	htk_320	10	10	0.617275619188548	0.006017027536444214
rand	Eng	htk_320	10	20	0.6103479854236425	0.005188594380164145
rand	Eng	htk_320	10	50	0.6004484108467647	0.00606377500670228
rand	Eng	htk_320	10	100	0.5868740123319315	0.005880120161286584
rand	Eng	htk_320	10	200	0.5764812670382312	0.006660433566150728
rand	Eng	htk_320	10	500	0.5649439366638868	0.006309599924500648
rand	Eng	h_2	20	5	0.6082364926144813	0.032406297619249846
rand	Eng	h_2	20	10	0.6161104043637611	0.030698180338168575
rand	Eng	h_2	20	20	0.6170759253412732	0.03759071320425614
rand	Eng	h_2	20	50	0.5987632218856668	0.03533699608736724
rand	Eng	h_2	20	100	0.5853944021265013	0.033155204008022195
rand	Eng	h_2	20	200	0.5730153402843994	0.035140676382548454
rand	Eng	h_2	20	500	0.5787405484435796	0.03390442625270652
rand	Eng	h_4	20	5	0.5553276687794763	0.02566403752657185
rand	Eng	h_4	20	10	0.5732846794562068	0.025643505149035833
rand	Eng	h_4	20	20	0.5698682963188699	0.025520351263622166
rand	Eng	h_4	20	50	0.5545118832254693	0.02180232967723973
rand	Eng	h_4	20	100	0.5604418597948227	0.024954705124014508
rand	Eng	h_4	20	200	0.5429120689080398	0.02446416476938945
rand	Eng	h_4	20	500	0.5425021089067812	0.022860937211237473
rand	Eng	h_10	20	5	0.555157127984561	0.010428909481904556
rand	Eng	h_10	20	10	0.5596154870879161	0.0096305906479698
rand	Eng	h_10	20	20	0.5540387421660056	0.010522581726487283
rand	Eng	h_10	20	50	0.5568317063657188	0.009775531878368712
rand	Eng	h_10	20	100	0.5336341092954602	0.01100914469995124
rand	Eng	h_10	20	200	0.533890095830777	0.008295519933774833
rand	Eng	h_10	20	500	0.5353624174409223	0.009292683138039543
rand	Eng	h_19	20	5	0.5555719544749491	0.0077844325342433926
rand	Eng	h_19	20	10	0.5651373477606176	0.00780224177672065
rand	Eng	h_19	20	20	0.571947261172906	0.0074503540983642605
rand	Eng	h_19	20	50	0.5548957423630311	0.008275479500941438
rand	Eng	h_19	20	100	0.5465670423067227	0.00874021334011926
rand	Eng	h_19	20	200	0.5358206853076868	0.008224938779536405
rand	Eng	h_19	20	500	0.5302255063761039	0.007456815187884422
rand	Eng	phonemic	20	5	0.5855778992526635	0.007218631728806886
rand	Eng	phonemic	20	10	0.606937896613386	0.008173416918967674
rand	Eng	phonemic	20	20	0.5966292699255138	0.007255549245211232
rand	Eng	phonemic	20	50	0.5832102150200671	0.007990181486496788
rand	Eng	phonemic	20	100	0.5705763534856211	0.007204880430480704
rand	Eng	phonemic	20	200	0.576709254922923	0.00750425676877052
rand	Eng	phonemic	20	500	0.5626883545186624	0.0074214248227564925
rand	Eng	htk_80	20	5	0.598361008997192	0.007762451257698025
rand	Eng	htk_80	20	10	0.6176296255217155	0.006023705404955096
rand	Eng	htk_80	20	20	0.6144288721688281	0.006674763131494326
rand	Eng	htk_80	20	50	0.6029608875794557	0.006267756746124112
rand	Eng	htk_80	20	100	0.5798274293330923	0.0069556154899589944
rand	Eng	htk_80	20	200	0.5725152598536805	0.007135694301257389
rand	Eng	htk_80	20	500	0.5659117250723797	0.006388930033149347
rand	Eng	htk_160	20	5	0.5964978150336053	0.006494099578599314
rand	Eng	htk_160	20	10	0.6111539675258085	0.00682658867206634
rand	Eng	htk_160	20	20	0.6089871384811543	0.0058470158401455865
rand	Eng	htk_160	20	50	0.5943268170064891	0.006110842758058723
rand	Eng	htk_160	20	100	0.5745148217215665	0.00663239496401141
rand	Eng	htk_160	20	200	0.5664913543304935	0.006743468105110163
rand	Eng	htk_160	20	500	0.5657697243263491	0.007845347150084177
rand	Eng	htk_320	20	5	0.5855331899313821	0.006941802580869757
rand	Eng	htk_320	20	10	0.6087842902926667	0.006357821376955003
rand	Eng	htk_320	20	20	0.6059729206746011	0.005711274800724007
rand	Eng	htk_320	20	50	0.6021712413942474	0.00596149652730497
rand	Eng	htk_320	20	100	0.58143268177352	0.006670750948394366
rand	Eng	htk_320	20	200	0.59229287603613	0.006161927076328036
rand	Eng	htk_320	20	500	0.562384646098279	0.006071243800478945
rand	Eng	h_2	50	5	0.5966933303698351	0.0363529020823077
rand	Eng	h_2	50	10	0.6037754852155438	0.03591320454476631
rand	Eng	h_2	50	20	0.6079153639742422	0.03576575241818233
rand	Eng	h_2	50	50	0.5961511751613483	0.036669373754364215
rand	Eng	h_2	50	100	0.5922892679045338	0.03532114831590948
rand	Eng	h_2	50	200	0.5888212747756634	0.03912868220113933
rand	Eng	h_2	50	500	0.5923782751058128	0.04034164979391087
rand	Eng	h_4	50	5	0.5624105810142329	0.02547297223624816
rand	Eng	h_4	50	10	0.5757781155815258	0.025672803339005096
rand	Eng	h_4	50	20	0.5842618113423341	0.02610186598469561
rand	Eng	h_4	50	50	0.5711491711370678	0.024161170920842454
rand	Eng	h_4	50	100	0.573612413244639	0.025603252360061897
rand	Eng	h_4	50	200	0.5663052743340434	0.02498014216840707
