Segmentation	language	variation	context	dimension	AUC	StD
rand	Jap	h_2	5	5	0.5940657278550534	0.024411602511841716
rand	Jap	h_2	5	10	0.5978940889946318	0.026996126335926025
rand	Jap	h_2	5	20	0.5888839147809969	0.02868202308879824
rand	Jap	h_2	5	50	0.58303506648155	0.025973506379984128
rand	Jap	h_2	5	100	0.5589945412633526	0.028869302896591034
rand	Jap	h_2	5	200	0.5461635278884102	0.029219365209768547
rand	Jap	h_2	5	500	0.5447605953331939	0.027982731067608246
rand	Jap	h_4	5	5	0.567843947112804	0.02040097535343382
rand	Jap	h_4	5	10	0.5901069936719265	0.021360329549894235
rand	Jap	h_4	5	20	0.5909701924064958	0.01860685636388009
rand	Jap	h_4	5	50	0.581833447634057	0.017419623903953872
rand	Jap	h_4	5	100	0.5710659862434264	0.018982282326207963
rand	Jap	h_4	5	200	0.5555229040205615	0.0218715600531548
rand	Jap	h_4	5	500	0.5313850076821995	0.020199901142637467
rand	Jap	h_8	5	5	0.5647757653780434	0.008362542353760861
rand	Jap	h_8	5	10	0.5676125066590695	0.00824420117178357
rand	Jap	h_8	5	20	0.5662077587110839	0.00829790579600906
rand	Jap	h_8	5	50	0.5520222956753358	0.008105452614956139
rand	Jap	h_8	5	100	0.5388782204290248	0.00862402547556374
rand	Jap	h_8	5	200	0.5313199193543762	0.00818598541661571
rand	Jap	h_8	5	500	0.5259062941647992	0.00815681065698391
rand	Jap	h_13	5	5	0.5741487760970416	0.006825577138404058
rand	Jap	h_13	5	10	0.5692983470121177	0.00757066168021076
rand	Jap	h_13	5	20	0.5673014115978351	0.007697963779943682
rand	Jap	h_13	5	50	0.5561685774395899	0.008107295547935833
rand	Jap	h_13	5	100	0.5496343095486552	0.007773587951601996
rand	Jap	h_13	5	200	0.5324611150798656	0.007307381637306489
rand	Jap	h_13	5	500	0.5210184251587213	0.006739934364779328
rand	Jap	phonemic	5	5	0.5980454756911895	0.0044485118099348445
rand	Jap	phonemic	5	10	0.6030462619046412	0.005461554417895786
rand	Jap	phonemic	5	20	0.600542901306446	0.005211895472080749
rand	Jap	phonemic	5	50	0.5854858765016508	0.006017728164903768
rand	Jap	phonemic	5	100	0.5747776453502141	0.006164574350290946
rand	Jap	phonemic	5	200	0.5607756655148523	0.0063908880161878704
rand	Jap	phonemic	5	500	0.5426832064187745	0.006367721754879844
rand	Jap	htk_50	5	5	0.6156457593438286	0.0052581038418322
rand	Jap	htk_50	5	10	0.6217719943656705	0.004954369926934651
rand	Jap	htk_50	5	20	0.6124244739743148	0.006160169557148855
rand	Jap	htk_50	5	50	0.596191174932494	0.005082147321188059
rand	Jap	htk_50	5	100	0.5837794329624885	0.005766706758959948
rand	Jap	htk_50	5	200	0.5704967856062173	0.0054534889198581005
rand	Jap	htk_50	5	500	0.5518039892770146	0.005592038467114841
rand	Jap	htk_100	5	5	0.6137656658365896	0.005208845014652859
rand	Jap	htk_100	5	10	0.6203034950641715	0.005279848648176498
rand	Jap	htk_100	5	20	0.6167489696294964	0.005516205976453092
rand	Jap	htk_100	5	50	0.6068497999381135	0.0048738000437040735
rand	Jap	htk_100	5	100	0.5967227315927489	0.005322181576350722
rand	Jap	htk_100	5	200	0.5868466811052041	0.005239678714650875
rand	Jap	htk_100	5	500	0.5681541645174838	0.005684598780517345
rand	Jap	htk_200	5	5	0.6306829996162133	0.005109347150775927
rand	Jap	htk_200	5	10	0.6292276493625786	0.005041452905226352
rand	Jap	htk_200	5	20	0.6272339249128552	0.004572952862567669
rand	Jap	htk_200	5	50	0.6068581780758808	0.0049271818481695226
rand	Jap	htk_200	5	100	0.5935421676346931	0.0056148559157108546
rand	Jap	htk_200	5	200	0.5819001809758919	0.005243155710525086
rand	Jap	htk_200	5	500	0.5653991556853232	0.0051812283775692055
rand	Jap	h_2	10	5	0.5827081937645032	0.027803788869549304
rand	Jap	h_2	10	10	0.5926263318145867	0.026479919845885245
rand	Jap	h_2	10	20	0.5978286235152644	0.026831070776845843
rand	Jap	h_2	10	50	0.5848753517706714	0.028947100498813768
rand	Jap	h_2	10	100	0.5710792849888086	0.026231920605347445
rand	Jap	h_2	10	200	0.5605996251299302	0.03130653854168104
rand	Jap	h_2	10	500	0.5519673215797976	0.03024385329331799
rand	Jap	h_4	10	5	0.5827843010474765	0.019828027809906373
rand	Jap	h_4	10	10	0.5895733850040114	0.020669500622977042
rand	Jap	h_4	10	20	0.5900297353315596	0.018444425968868153
rand	Jap	h_4	10	50	0.5719428033033439	0.018511101789084435
rand	Jap	h_4	10	100	0.5687050210558747	0.02097289607725454
rand	Jap	h_4	10	200	0.5577206824277402	0.020639858727046063
rand	Jap	h_4	10	500	0.5496870875813133	0.020303895843080306
rand	Jap	h_8	10	5	0.5658609047893325	0.007125236296815307
rand	Jap	h_8	10	10	0.5735510470442329	0.008646796377217204
rand	Jap	h_8	10	20	0.5663532134981295	0.008335139338352903
rand	Jap	h_8	10	50	0.5542718872234882	0.006924786368822574
rand	Jap	h_8	10	100	0.5458719074184609	0.007853412646592822
rand	Jap	h_8	10	200	0.5335477565912055	0.008684428047756862
rand	Jap	h_8	10	500	0.5286151866088293	0.008408417389546
rand	Jap	h_13	10	5	0.5729103236185542	0.007192398619440594
rand	Jap	h_13	10	10	0.5702698116884881	0.006405397990943558
rand	Jap	h_13	10	20	0.5740995180571532	0.006516970267587334
rand	Jap	h_13	10	50	0.5627878001559864	0.00795579987208317
rand	Jap	h_13	10	100	0.5519143042443395	0.006905474539306392
rand	Jap	h_13	10	200	0.5404513317500017	0.007461372395241297
