Segmentation	language	variation	context	dimension	AUC	StD
seg	Eng	h_2	5	5	0.6299655794499934	0.054583162202455064
seg	Eng	h_2	5	10	0.6224586560309652	0.059370600613178004
seg	Eng	h_2	5	20	0.6200651503176947	0.055021884666730636
seg	Eng	h_2	5	50	0.6080405671941844	0.06246321521977209
seg	Eng	h_2	5	100	0.5991907456911344	0.05540555362433756
seg	Eng	h_2	5	200	0.5700926705176532	0.059046202623541565
seg	Eng	h_2	5	500	0.5927776772023596	0.06490488992102038
seg	Eng	h_4	5	5	0.5430670466483069	0.031808548401936115
seg	Eng	h_4	5	10	0.566232010050412	0.032550781412800225
seg	Eng	h_4	5	20	0.5722008242634001	0.02713675247338552
seg	Eng	h_4	5	50	0.5570456917093473	0.03501857504565674
seg	Eng	h_4	5	100	0.5496905022858958	0.02953031092476992
seg	Eng	h_4	5	200	0.534229937916365	0.03356609236833261
seg	Eng	h_4	5	500	0.5384038122006544	0.029487156700693597
seg	Eng	h_10	5	5	0.5016377465764014	0.012166548850824459
seg	Eng	h_10	5	10	0.5264505328829554	0.012519664808419376
seg	Eng	h_10	5	20	0.5287970145697148	0.01162249228625671
seg	Eng	h_10	5	50	0.5236118320395499	0.013198138698364508
seg	Eng	h_10	5	100	0.5295172349533314	0.0138701210090978
seg	Eng	h_10	5	200	0.5357143575123859	0.013139543779628317
seg	Eng	h_10	5	500	0.530436628915022	0.013096341884652352
seg	Eng	h_19	5	5	0.5029765967860989	0.012383927618796997
seg	Eng	h_19	5	10	0.517336085450935	0.013825185355959831
seg	Eng	h_19	5	20	0.5360884345902984	0.012048918609608938
seg	Eng	h_19	5	50	0.5358215251807327	0.013285616710347201
seg	Eng	h_19	5	100	0.5341884600406481	0.012591810048568868
seg	Eng	h_19	5	200	0.53699083624531	0.013218929548923524
seg	Eng	h_19	5	500	0.5397355569021728	0.012627464216012876
seg	Eng	phonemic	5	5	0.6267453028817066	0.007889436528758223
seg	Eng	phonemic	5	10	0.6695694518254796	0.008232469109172325
seg	Eng	phonemic	5	20	0.6974064439597915	0.007536372987506186
seg	Eng	phonemic	5	50	0.7400015446851037	0.007673798846095246
seg	Eng	phonemic	5	100	0.7549263942096832	0.006349742806386154
seg	Eng	phonemic	5	200	0.7715107744772897	0.005941774088902605
seg	Eng	phonemic	5	500	0.7855299466506365	0.00550137031358981
seg	Eng	htk_80	5	5	0.596367608621947	0.008422056309494486
seg	Eng	htk_80	5	10	0.6406726735621047	0.007806636862521602
seg	Eng	htk_80	5	20	0.6647720845165657	0.006594938585549613
seg	Eng	htk_80	5	50	0.6887175852247559	0.006632016582083361
seg	Eng	htk_80	5	100	0.7021411230529802	0.006744232427193724
seg	Eng	htk_80	5	200	0.7216209239374456	0.006181871996978811
seg	Eng	htk_80	5	500	0.7403959176720357	0.005891796102320811
seg	Eng	htk_160	5	5	0.583036018728991	0.005946304867175796
seg	Eng	htk_160	5	10	0.6363131161303986	0.00599190528905554
seg	Eng	htk_160	5	20	0.6563596148556029	0.0063920389273866346
seg	Eng	htk_160	5	50	0.6715406282999378	0.005819918599381678
seg	Eng	htk_160	5	100	0.6990197501980524	0.005904096513591052
seg	Eng	htk_160	5	200	0.713458631396524	0.005293901562279693
seg	Eng	htk_160	5	500	0.7274146829541701	0.004952458605241949
seg	Eng	htk_320	5	5	0.5642212519316869	0.005965687117716643
seg	Eng	htk_320	5	10	0.6006937994671546	0.0052023628970204235
seg	Eng	htk_320	5	20	0.6264928360687552	0.006153624449394371
seg	Eng	htk_320	5	50	0.6534853641071406	0.005584519978738499
seg	Eng	htk_320	5	100	0.6742691169929863	0.005924417504216468
seg	Eng	htk_320	5	200	0.685715114359019	0.005755348606364425
seg	Eng	htk_320	5	500	0.7091806255080405	0.005352814611976102
seg	Eng	h_2	10	5	0.6343436602432138	0.05653019041644445
seg	Eng	h_2	10	10	0.6364384939691857	0.058999105733498744
seg	Eng	h_2	10	20	0.6348974398081922	0.058855216820842014
seg	Eng	h_2	10	50	0.6217118928569029	0.05647031350905966
seg	Eng	h_2	10	100	0.6002532599726568	0.05606055904148036
seg	Eng	h_2	10	200	0.6010296435512994	0.060735032732333605
seg	Eng	h_2	10	500	0.5932096743746694	0.059806962444754704
seg	Eng	h_4	10	5	0.5707758837252327	0.03236088606065004
seg	Eng	h_4	10	10	0.5774194023348036	0.025151117584264176
seg	Eng	h_4	10	20	0.5760999490813141	0.03254340555392378
seg	Eng	h_4	10	50	0.5630683221560837	0.029813333098508872
seg	Eng	h_4	10	100	0.5650615526349816	0.03414232365193191
seg	Eng	h_4	10	200	0.5640712693173762	0.030922599327295106
seg	Eng	h_4	10	500	0.5590785252638351	0.034612075986679626
seg	Eng	h_10	10	5	0.5304582338031476	0.013292313439952203
seg	Eng	h_10	10	10	0.5424845478009683	0.013180324920626934
seg	Eng	h_10	10	20	0.5383984279454274	0.0124236559783397
seg	Eng	h_10	10	50	0.5314136148103347	0.012984941338464033
seg	Eng	h_10	10	100	0.5441197361195074	0.011204486155752974
seg	Eng	h_10	10	200	0.5246319569814971	0.01187512703277854
seg	Eng	h_10	10	500	0.5355114237694474	0.01268818642304733
seg	Eng	h_19	10	5	0.5215868637422224	0.013647841956433473
seg	Eng	h_19	10	10	0.5247162711028278	0.012892222315193304
seg	Eng	h_19	10	20	0.5288670485771104	0.01193069184324779
seg	Eng	h_19	10	50	0.5455693260425322	0.013450440436811241
seg	Eng	h_19	10	100	0.5560273753628943	0.012545285299311374
seg	Eng	h_19	10	200	0.5448557186108117	0.01190970465290467
seg	Eng	h_19	10	500	0.5525182749066564	0.012240408479636878
